CatLinux, assemblyline,1025,0,1.696585366,1500,0.001,7.67411671,0
evolutionStrategies, assemblyline,854,0,0.086651054,1500,0.001,2.160231535,0
greedySearch, assemblyline,392,0,0.017857143,1500,0.001,0.231765143,0
hillClimber, assemblyline,965,0,1.10984456,1500,0.001,5.671243799,0
ICELab, assemblyline,170,0,0,1500,0.001,0.001,0
jaydee, assemblyline,645,0,0.451162791,1500,0.001,4.264003205,0
MaastCTS2, assemblyline,850,0,9.210588235,1500,0.001,22.03357761,0
MH2015, assemblyline,3635,0.000275103,3.747180193,1499.882531,0.017583953,11.99057202,7.081347736
mrtndwrd, assemblyline,495,0,0,1500,0.001,0.001,0
muzzle, assemblyline,895,0,0.720670391,1500,0.001,5.490468597,0
NovelTS, assemblyline,750,0,0.068,1500,0.001,1.862014777,0
NovTea, assemblyline,750,0,0.350666667,1500,0.001,3.804993457,0
Number27, assemblyline,630,0.004761905,4.822222222,1498.060317,0.069842059,13.8859061,31.52151465
Return42, assemblyline,745,0,1.340939597,1500,0.001,6.868822192,0
sampleMCTS, assemblyline,634,0,1.059936909,1500,0.001,5.905834462,0
sampleRHEA, assemblyline,875,0,1.088,1500,0.001,5.794417348,0
simulatedAnnealing, assemblyline,840,0,1.252380952,1500,0.001,6.535022246,0
SJA86, assemblyline,565,0,3.971681416,1500,0.001,12.45918116,0
SJA862, assemblyline,1815,0,0.444077135,1500,0.001,4.867599145,0
TeamTopbug, assemblyline,690,0,0.07826087,1500,0.001,1.241484894,0
thorbjrn, assemblyline,809,0,2.253399258,1500,0.001,8.853244982,0
TomVodo, assemblyline,475,0,1.505263158,1500,0.001,7.362741333,0
YBCriber, assemblyline,495,0,0,1500,0.001,0.001,0
adrienctx, avoidgeorge,1495,0.725752508,83.38795987,887.6267559,0.44713429,33.4948619,221.5247553
aStar, avoidgeorge,1625,0,0.808615385,174.3753846,0.001,9.228299943,60.28713354
AtheneAI, avoidgeorge,1105,0.109502262,90.48868778,488.7819005,0.313268341,130.0973795,276.2573337
bladerunner, avoidgeorge,1380,0.415942029,42.82971014,703.2463768,0.493883615,27.65050116,315.3189209
CatLinux, avoidgeorge,1915,0.321671018,343.3368146,618.6610966,0.468117517,298.5979661,334.3921519
evolutionStrategies, avoidgeorge,1770,0,2.033898305,229.1282486,0.001,5.697364491,103.3197546
greedySearch, avoidgeorge,1860,0.044623656,122.3231183,218.1677419,0.207476113,440.3052733,213.2079651
hillClimber, avoidgeorge,1885,0,2.141114058,188.196817,0.001,4.681931671,87.24933624
ICELab, avoidgeorge,1075,0.298604651,44.60465116,588.1934884,0.458646057,34.08812472,361.6782609
jaydee, avoidgeorge,1573,0.926891291,115.4958678,966.8881119,0.261314859,39.01454536,139.993112
MaastCTS2, avoidgeorge,1750,0.574857143,379.8737143,812.5645714,0.495364651,198.0407811,273.1276376
MH2015, avoidgeorge,4515,0.00110742,5.266445183,271.9707641,0.034259485,7.130221237,129.1591909
mrtndwrd, avoidgeorge,1420,0.004929577,2.685211268,277.3978873,0.071037681,4.524046574,176.2526999
